Country,A/HRC/RES/S-17/1,A/HRC/RES/S-18/1,A/HRC/RES/19/1,A/HRC/RES/19/14,A/HRC/RES/19/17,A/HRC/RES/19/22,A/HRC/RES/S-19/1,A/HRC/RES/20/22,A/HRC/RES/21/26
AGO,0,0,3,1,1,1,1,1,1
AUT,1,1,1,0,1,1,1,1,1
BEL,1,1,1,0,1,1,1,1,1
BEN,1,1,1,1,1,1,1,1,1
BFA,1,1,3,1,1,1,1,1,1
BGD,0,0,1,1,1,1,1,1,1
BWA,1,1,1,1,1,1,1,1,1
CHE,1,1,1,0,1,1,1,1,1
CHL,1,1,1,1,1,1,1,1,1
CHN,0,0,0,1,1,0,0,0,0
CMR,0,0,1,0,0,1,1,1,1
COG,1,1,1,1,1,1,1,1,1
CRI,1,1,1,1,0,1,1,1,1
CUB,0,0,0,1,1,0,0,0,0
CZE,1,1,1,0,0,1,1,1,1
DJI,0,1,1,1,1,1,1,1,1
ECU,0,0,0,1,1,0,0,1,1
ESP,1,1,1,0,0,1,1,1,1
GTM,1,1,1,0,0,1,1,1,1
HUN,1,1,1,0,0,1,1,1,1
IDN,1,1,1,1,1,1,1,1,1
IND,0,0,0,1,1,1,1,0,0
ITA,1,1,1,0,0,1,1,1,1
JOR,1,1,1,1,1,1,1,1,1
KGZ,1,1,3,1,1,1,1,1,1
KWT,1,1,1,1,1,1,1,1,1
LBY,3,1,1,1,1,1,1,1,1
MDA,1,1,1,0,0,1,1,1,1
MDV,1,1,1,1,1,1,1,1,1
MEX,1,1,1,1,1,1,1,1,1
MRT,0,1,1,1,1,1,1,1,1
MUS,1,1,1,1,1,1,1,1,1
MYS,0,1,1,1,1,1,1,1,1
NGA,1,1,1,1,1,1,1,1,1
NOR,1,1,1,0,1,1,1,1,1
PER,1,1,1,1,1,1,1,1,1
PHL,0,0,0,1,1,3,3,0,0
POL,1,1,1,0,0,1,1,1,1
QAT,1,1,1,1,1,1,1,1,1
ROU,1,1,1,0,0,1,1,1,1
RUS,0,0,0,1,1,0,0,0,0
SAU,1,1,1,1,1,1,1,1,1
SEN,1,1,1,1,1,1,1,1,1
THA,1,1,1,1,1,1,1,1,1
UGA,0,0,3,1,1,0,0,0,0
URY,1,1,1,1,1,1,1,1,1
USA,1,1,1,0,0,1,1,1,1
