"","coord1D","se1D"
"ALB",-1,0
"AUS",-1,0
"CZE",-1,0
"GBR",-1,0
"MHL",-1,0
"USA",-1,0
"DNK",-0.971,0
"HUN",-0.968,0
"BGR",-0.933,0
"AUT",-0.932,0
"ISL",-0.92,0
"SVK",-0.917,0
"HRV",-0.916,0
"ITA",-0.9,0
"LTU",-0.893,0
"ROU",-0.874,0
"POL",-0.873,0
"NLD",-0.871,0
"ESP",-0.865,0
"UKR",-0.858,0
"JPN",-0.855,0
"FRA",-0.854,0
"KOR",-0.852,0
"DEU",-0.851,0
"GEO",-0.849,0
"MNE",-0.828,0
"FIN",-0.813,0
"LUX",-0.78,0
"BEL",-0.761,0
"SVN",-0.739,0
"CHE",-0.735,0
"MEX",-0.467,0
"BRA",-0.449,0
"FJI",-0.412,0
"PER",-0.411,0
"URY",-0.411,0
"PRY",-0.404,0
"CRI",-0.38,0
"ARG",-0.373,0
"CHL",-0.373,0
"HND",-0.365,0
"DOM",-0.328,0
"PAN",-0.304,0
"ARM",-0.217,0
"ZAF",-0.157,0
"RWA",-0.129,0
"NPL",-0.118,0
"BHS",-0.086,0
"MNG",-0.077,0
"BEN",-0.045,0
"TGO",-0.001,0
"MWI",0.036,0
"GHA",0.1,0
"BFA",0.149,0
"NAM",0.153,0
"AGO",0.212,0
"TUN",0.248,0
"CIV",0.3,0
"ECU",0.302,0
"GMB",0.398,0
"GAB",0.46,0
"AFG",0.463,0
"BOL",0.517,0
"KGZ",0.521,0
"PHL",0.529,0
"COD",0.644,0
"UZB",0.645,0
"LBY",0.653,0
"SAU",0.654,0
"IND",0.659,0
"MDV",0.672,0
"KAZ",0.68,0
"MAR",0.684,0
"QAT",0.699,0
"BDI",0.716,0
"ARE",0.736,0
"KEN",0.753,0
"MRT",0.775,0
"NGA",0.819,0
"SOM",0.829,0
"SDN",0.83,0
"MYS",0.844,0
"BGD",0.845,0
"PAK",0.875,0
"IDN",0.883,0
"SEN",0.887,0
"CMR",0.903,0
"BHR",0.946,0
"ETH",0.972,0
"KWT",0.972,0
"IRQ",0.974,0
"CHN",1,0
"CUB",1,0
"DZA",1,0
"EGY",1,0
"ERI",1,0
"RUS",1,0
"VEN",1,0
"VNM",1,0
